iteration,win_type,winner,count,avg_moves,avg_diff
150,capture,Black,3,25.00,0.00
150,capture,White,1,18.00,0.00
150,territory,Black,4,26.00,4.00
150,territory,White,0,0.00,0.00
150,suicide,Black,2,0.00,0.00
150,suicide,White,0,0.00,0.00
150,draw,Draw,0,0.00,0.00
150,other,Other,0,0.00,0.00
155,capture,Black,2,24.00,0.00
155,capture,White,2,20.00,0.00
155,territory,Black,3,32.33,1.00
155,territory,White,1,38.00,2.00
155,suicide,Black,2,0.00,0.00
155,suicide,White,0,0.00,0.00
155,draw,Draw,0,0.00,0.00
155,other,Other,0,0.00,0.00
160,capture,Black,3,29.00,0.00
160,capture,White,1,20.00,0.00
160,territory,Black,3,34.67,4.00
160,territory,White,1,33.00,7.00
160,suicide,Black,2,0.00,0.00
160,suicide,White,0,0.00,0.00
160,draw,Draw,0,0.00,0.00
160,other,Other,0,0.00,0.00
165,capture,Black,3,21.00,0.00
165,capture,White,1,26.00,0.00
165,territory,Black,2,37.00,2.00
165,territory,White,1,35.00,1.00
165,suicide,Black,0,0.00,0.00
165,suicide,White,2,0.00,0.00
165,draw,Draw,0,0.00,0.00
165,other,Other,0,0.00,0.00
170,capture,Black,1,25.00,0.00
170,capture,White,0,0.00,0.00
170,territory,Black,3,31.33,1.67
170,territory,White,0,0.00,0.00
170,suicide,Black,2,0.00,0.00
170,suicide,White,3,0.00,0.00
170,draw,Draw,0,0.00,0.00
170,other,Other,0,0.00,0.00